name,family,model_key,loader_key,batch_size,epochs,optimizer,learning_rate,weight_decay,momentum,feature_reference,svm_c,notes,device,n_steps,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,test_loss,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,final_train_accuracy,final_val_accuracy,history_path,confusion_matrix_path,feature_train_shape,feature_val_shape,feature_test_shape,train_feature_path,train_label_path,val_feature_path,val_label_path,test_feature_path,test_label_path
m1_lenet_like,torch,lenet_like,custom,128,10,sgd,0.01,0.0005,0.9,,,LeNet-5 inspired CNN written explicitly with PyTorch layers.,cuda,3520,,0.5762,0.5818654849503264,0.5761999999999999,0.5758349361999481,,0.584,0.5897458546744365,0.5840000000000001,0.5834561211662861,0.5944222222222222,0.5762,C:\Users\hp\OneDrive\Documents\MY PROJECTS\deep-learning-projects\project-02\outputs\figures\m1_lenet_like_history.png,C:\Users\hp\OneDrive\Documents\MY PROJECTS\deep-learning-projects\project-02\outputs\figures\m1_lenet_like_confusion_matrix.png,,,,,,,,,
m2_improved_cnn,torch,improved_cnn,custom,128,10,sgd,0.01,0.0005,0.9,,,Same LeNet-like hyperparameters with BatchNorm and Dropout improvements.,cuda,3520,,0.6028,0.6023614213833483,0.6028,0.5976932789422624,,0.5998,0.5966330842210753,0.5997999999999999,0.5936643408155742,0.6089111111111111,0.601,C:\Users\hp\OneDrive\Documents\MY PROJECTS\deep-learning-projects\project-02\outputs\figures\m2_improved_cnn_history.png,C:\Users\hp\OneDrive\Documents\MY PROJECTS\deep-learning-projects\project-02\outputs\figures\m2_improved_cnn_confusion_matrix.png,,,,,,,,,
m3_resnet18,torch,resnet18,pretrained,64,4,sgd,0.005,0.0001,0.9,,,Torchvision ResNet18 with ImageNet weights and partial fine-tuning.,cuda,2816,,0.919,0.9225754463153277,0.9190000000000002,0.91977737802452,,0.9113,0.9132663168148941,0.9113,0.9116140855681725,0.9874444444444445,0.9182,C:\Users\hp\OneDrive\Documents\MY PROJECTS\deep-learning-projects\project-02\outputs\figures\m3_resnet18_history.png,C:\Users\hp\OneDrive\Documents\MY PROJECTS\deep-learning-projects\project-02\outputs\figures\m3_resnet18_confusion_matrix.png,,,,,,,,,
m4_resnet18_linear_svm_hybrid,hybrid,linear_svm_hybrid,pretrained,64,0,,,0.0,0.9,m3_resnet18,1.0,ResNet18 feature extractor followed by a Linear SVM on saved .npy features.,cuda,1,,0.9112,0.9123042670063339,0.9112,0.9115948081211591,,0.9037,0.9038636134923473,0.9037000000000001,0.903763092703411,,0.9112,,C:\Users\hp\OneDrive\Documents\MY PROJECTS\deep-learning-projects\project-02\outputs\figures\m4_resnet18_linear_svm_hybrid_confusion_matrix.png,"[45000, 512]","[5000, 512]","[10000, 512]",C:\Users\hp\OneDrive\Documents\MY PROJECTS\deep-learning-projects\project-02\outputs\features\train_features.npy,C:\Users\hp\OneDrive\Documents\MY PROJECTS\deep-learning-projects\project-02\outputs\features\train_labels.npy,C:\Users\hp\OneDrive\Documents\MY PROJECTS\deep-learning-projects\project-02\outputs\features\val_features.npy,C:\Users\hp\OneDrive\Documents\MY PROJECTS\deep-learning-projects\project-02\outputs\features\val_labels.npy,C:\Users\hp\OneDrive\Documents\MY PROJECTS\deep-learning-projects\project-02\outputs\features\test_features.npy,C:\Users\hp\OneDrive\Documents\MY PROJECTS\deep-learning-projects\project-02\outputs\features\test_labels.npy
